年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp,獲票數_Count_of_votes,得票率_Percentage_of_votes_obtained(%),票選或自動當選_Elected_or_uncontested,該選區登記選民數_Count_of_registered_voter,該選區居民數_Count_of_resident
2011,元朗,M30,八鄉北,鄧貴有,,建,1439,46.63,Elected,5280,12072
2011,元朗,M31,八鄉南,黎偉雄,,建,2747,77.6,Elected,8255,16151
1999,北區,N01,聯和墟,陳發康,民建聯,建,1467,48.53,Elected,7895,18961
1999,北區,N02,粉嶺市,彭鏗然,新界鄉議局,建,942,51.82,Elected,5025,18877
1999,北區,N03,祥華,黃燦鴻,民建聯,建,1972,59.67,Elected,9954,19771
1999,北區,N04,華心,潘忠賢,民主黨,泛,1562,58,Elected,6707,16751
1999,北區,N05,華明,黃良喜,民主黨,泛,1952,52.54,Elected,8191,21131
1999,北區,N06,欣都,劉德昌,民主黨,泛,1196,50.55,Elected,6245,14384
1999,北區,N07,嘉福,岑永根,民主黨,泛,1762,60.91,Elected,7771,19138
1999,北區,N08,上水鄉郊,侯金林,民建聯,建,1901,62.43,Elected,6408,15960
1999,北區,N09,彩旭太,周錦紹,民主黨,泛,1840,58.67,Elected,9097,19980
1999,北區,N10,彩園,蘇西智,民建聯,建,1580,51.43,Elected,8681,15641
1999,北區,N11,石湖墟,陳興福,民主黨,泛,1006,51.43,Elected,6369,14795
1999,北區,N12,天平西,區維坤,,泛,1904,75.68,Elected,6037,14030
1999,北區,N13,天平東,黃成智,民主黨,泛,1281,61.82,Elected,5751,14070
1999,北區,N14,鳳翠,廖超華,,建,1052,56.23,Elected,5484,14745
1999,北區,N15,沙打,溫和輝,民建聯,建,1974,53.77,Elected,6692,15125
1999,北區,N16,皇后山,鄧根年,民建聯,建,1281,51.97,Elected,5676,15633
2003,北區,N01,聯和墟,陳發康,民建聯,建,,,Uncontested,8799,20599
2003,北區,N02,粉嶺市,葉美好,－,其他,1755,54.54,Elected,6819,20836
2003,北區,N03,祥華,莫兆麟,民主黨,泛,2221,50.02,Elected,10569,20873
2003,北區,N04,華都,潘忠賢,民主黨,泛,3059,82.19,Elected,8579,20359
2003,北區,N05,華明,黃良喜,民主黨,泛,2594,63.89,Elected,8660,20074
2003,北區,N06,欣盛,劉德昌,民主黨,泛,2210,52.78,Elected,9412,21087
2003,北區,N07,嘉福,岑永根,民主黨,泛,2342,49.38,Elected,9225,21050
2003,北區,N08,上水鄉郊,侯金林,民建聯,建,1933,65.06,Elected,6715,20776
2003,北區,N09,彩旭太,周錦紹,民主黨,泛,2656,71.11,Elected,9529,19516
2003,北區,N10,彩園,蘇西智,民建聯,建,1986,50.96,Elected,8299,15754
2003,北區,N11,石湖墟,陳興福,民主黨,泛,1361,56.92,Elected,6044,16132
2003,北區,N12,天平西,區維坤,－,其他,2056,70.9,Elected,6737,13293
2003,北區,N13,鳳翠,廖超華,民建聯,建,1504,59.14,Elected,5811,16199
